CRN,Student,hand,online,MP,MP&LC%,renorm,lab (P/F/x),lab % (0-1),rec. %,hw1,hw2,hw3,hw4,hw5,hw6,HW%,M1,M1%,M2,M2%,F,F%,1,2,grade %,pre-lab,w/ lab,last attendence
50539,student001,,158,156.31,1.343205128,1,P,0.95,1,30,30,27,28,0,33,0.822222222,28,0.583333333,23.5,0.522222222,26.5,0.358108108,0.618393393,0.447955648,0.618393393,C+,C+,
50539,student003,,133,92.89,0.96534188,0.96534188,P,0.9,0,26,27.5,20,24,27,29,0.852777778,18.5,0.385416667,18,0.4,19,0.256756757,0.479489331,0.319503638,0.479489331,D,D,
50539,student005,,153,152.69,1.306367521,1,P,0.9125,1,28,27.5,23,27,26,29,0.891666667,32,0.666666667,34,0.755555556,49,0.662162162,0.775506757,0.684753985,0.775506757,B+,B+,
50537,student006,,174,155.09,1.406367521,1,P,0.93125,0,28,29,25,30,0,29,0.783333333,33,0.6875,34.5,0.766666667,56.5,0.763513514,0.756813063,0.746699584,0.756813063,B,B,
50539,student007,,166,98.53,1.130470085,1,P,0.975,1,28,28,27,30,26,29,0.933333333,39,0.8125,30.5,0.677777778,53.5,0.722972973,0.817415541,0.733203396,0.817415541,A-,A-,
50539,student008,,136,117.57,1.083632479,1,P,0.8125,1,0,26,20,20,27,0,0.516666667,38,0.791666667,32,0.711111111,58,0.783783784,0.782657658,0.768832294,0.782657658,B+,B+,
50537,student009,,180,164.31,1.471410256,1,P,0.9125,0,27,28.5,25,28,26,30,0.913888889,33.5,0.697916667,32.5,0.722222222,46.5,0.628378378,0.715592155,0.666081947,0.715592155,B,B,
50539,student015,,107,105.56,0.908376068,0.908376068,P,0.81875,0,30,25.5,24,30,25,27,0.897222222,22,0.458333333,20.5,0.455555556,42.5,0.574324324,0.600531676,0.520148995,0.600531676,C,C,
50539,student017,,171,113.37,1.21525641,1,P,0.84375,0,28,25.5,28,28,25,29,0.908333333,39.5,0.822916667,30.5,0.677777778,41,0.554054054,0.694231419,0.644650901,0.694231419,B,B,
50537,student018,,125,,0.534188034,0.534188034,P,0.9375,1,0,21.5,26,27,26,29,0.719444444,42.5,0.885416667,31.5,0.7,64,0.864864865,0.809628451,0.83156185,0.83156185,A-,A-,
50539,student021,,111,46.4,0.672649573,0.672649573,P,0.81875,0.714285714,28,28.5,25,30,25,25,0.897222222,45,0.9375,41.5,0.922222222,60.5,0.817567568,0.839683447,0.869395357,0.869395357,A,A,
50539,student022,,,45.74,0.195470085,0.195470085,F,0.46875,0,0,0,0,0,0,0,0,29.5,0.614583333,35,0.777777778,0,0,0.275276175,0.321314103,0.321314103,F,F,05/17/2017
50537,student024,,144,159.3,1.296153846,1,P,1,1,31,25.5,28,33,28,32,0.986111111,25,0.520833333,23.5,0.522222222,42.5,0.574324324,0.706082958,0.549956687,0.706082958,B,B,
