CRN,Student,hand,online,MP,MP&LC%,renorm,lab (P/F/x),lab % (0-1),rec. %,hw1,hw2,hw3,hw4,hw5,hw6,HW%,M1,M1%,M2,M2%,F,F%,1,2,grade %,pre-lab,w/ lab,last attendence
1,student001,,117,168.72,1.400588235,1,P,0.888888889,1,21.5,28.5,23,25,25,37.5,0.891666667,23,0.442307692,21.5,0.377192982,30,0.340909091,0.570298839,0.372681974,0.570298839,C,C,
1,student002,,147,173.17,1.569460784,1,P,0.805555556,1,29,30,27,27.5,29,25.5,0.933333333,22,0.423076923,39,0.684210526,50,0.568181818,0.688845643,0.561471929,0.688845643,B,B,
1,student003,,115,145.83,1.278578431,1,P,0.925,1,26.5,27,27,28,23,24,0.863888889,18.5,0.355769231,34,0.596491228,39.5,0.448863636,0.62883023,0.461448218,0.62883023,C+,C+,
1,student004,,107,90.06,0.965980392,0.965980392,P,0.8125,1,28.75,28,20.5,20.5,22,26.5,0.8125,34,0.653846154,35.5,0.622807018,44.5,0.505681818,0.677584651,0.56690248,0.677584651,B,B,
1,student005,,144,154.8,1.464705882,1,P,0.922222222,1,24,30,28,26,23,32,0.905555556,29,0.557692308,42,0.736842105,62.5,0.710227273,0.775537485,0.681168781,0.775537485,B+,B+,
1,student006,,142,174.84,1.553137255,1,P,0.922222222,1,29.5,29.5,28.5,28.5,28,24.5,0.936111111,37,0.711538462,42,0.736842105,46,0.522727273,0.736044964,0.615710201,0.736044964,B,B,
1,student007,,143,128.8,1.332352941,1,P,0.922222222,1,30,29,28.5,29.5,29.5,32,0.991666667,32,0.615384615,38.5,0.675438596,43.5,0.494318182,0.708023734,0.564053608,0.708023734,B,B,
1,student008,,107,170.39,1.359754902,1,P,0.944444444,0.333333333,29,29.5,26,18,25,29,0.869444444,48.5,0.932692308,48,0.842105263,71.5,0.8125,0.848650191,0.84706867,0.848650191,A,A,
1,student009,,138,170.14,1.510490196,1,P,0.888888889,1,24.5,28.5,23,29,20,28,0.85,31.5,0.605769231,42,0.736842105,49.5,0.5625,0.722155589,0.612718001,0.722155589,B,B,
1,student010,,140,192.71,1.630931373,1,P,0.844444444,1,0,22.5,26.5,29,27,20,0.694444444,18,0.346153846,16.5,0.289473684,15.5,0.176136364,0.460880746,0.241525934,0.460880746,D,D,
