CRN,Student,hand,online,MP,MP&LC%,renorm,lab (P/F/x),lab % (0-1),rec. %,hw1,hw2,hw3,hw4,hw5,hw6,hw7,hw8,HW%,M1,M1%,M2,M2%,F,F%,,,,pre-lab,w/ lab,last attendence
30496,student001,,127,165.61,1.346365031,1,P,0.911111111,1,28,26,30,27,26,30,29.5,33,0.95625,18.5,0.385416667,33.5,0.587719298,30.5,0.4765625,0.649503381,0.481180415,0.649503381,B-,B-,
30497,student002,,157,165.59,1.484309816,1,P,0.888888889,1,30,28.5,29.5,19,30,25.5,25,26,0.889583333,21.5,0.447916667,28.5,0.5,33,0.515625,0.650503472,0.496394231,0.650503472,B-,B-,
30496,student003,,108,135.12,1.118650307,1, P,0.805555556,1,28,25,24.5,25,27,28,22,29,0.86875,17,0.354166667,18.5,0.324561404,20.5,0.3203125,0.531349141,0.329105516,0.531349141,C,C,
30496,student004,,79,49.79,0.592592025,0.592592025, P,0.944444444,1,26.5,17.5,27,27,24,30,22.5,21,0.814583333,32.5,0.677083333,40.5,0.710526316,35.5,0.5546875,0.687444053,0.618895496,0.687444053,B,B,
30497,student005,,139,163.83,1.393389571,1,P,0.922222222,1,27,25,30,30,29,30,23.5,29,0.93125,32.5,0.677083333,38.5,0.675438596,44.5,0.6953125,0.781584887,0.686519484,0.781584887,B+,B+,
30496,student006,,146,165.58,1.433650307,1,P,0.877777778,1,28,29.5,28,30,28,30,24.5,30,0.95,30,0.625,47.5,0.833333333,52.5,0.8203125,0.838637153,0.778245192,0.838637153,A-,A-,
35945,student007,,143,91.25,1.077837423,1,P,0.933333333,1,21,26.5,29,30,29,27,26,30,0.910416667,30.5,0.635416667,32.5,0.570175439,37,0.578125,0.717557566,0.58951164,0.717557566,B,B,
30496,student008,,118,107.14,1.035920245,1, P,0.638888889,1,17,27.5,27.5,26,27,23.5,22.5,0,0.7125,42,0.875,48,0.842105263,54.5,0.8515625,0.840751553,0.854788715,0.854788715,A,A,
30496,student009,,155,175.19,1.519279141,1,P,0.933333333,1,27,28.5,26.5,24,25,30,24.5,28,0.889583333,30,0.625,38,0.666666667,33.5,0.5234375,0.709244792,0.579927885,0.709244792,B,B,
35945,student011,182,,5.73,0.863788344,0.863788344,P,0.8,1,0,0,22.5,28,0,30,24,30,0.560416667,26.5,0.552083333,41,0.719298246,42.5,0.6640625,0.695549613,0.650967864,0.695549613,B,B,
30496,student012,,68,37.45,0.485199387,0.485199387,F,0.211111111,1,0,27.5,28,30,30,30,22.5,28,0.816666667,30.5,0.635416667,30,0.526315789,44.5,0.6953125,0.61891696,0.642491144,0.642491144,C+,I/F,03/22/2017
30496,student014,33,48,39.17,0.552929448,0.552929448,P,0.811111111,1,28,19,26,22,19.5,0,15.5,21,0.629166667,32,0.666666667,43.5,0.763157895,52.5,0.8203125,0.750903782,0.771666245,0.771666245,B+,B+,
30497,student015,,136,108.59,1.12541411,1,P,0.755555556,1,25,25,28,30,30,30,22,29,0.9125,27,0.5625,27,0.473684211,30,0.46875,0.636295687,0.491523279,0.636295687,C+,C+,
30496,student016,,137,141.94,1.283466258,1, P,0.888888889,1,29,30,27.5,30,24,26.5,24,28,0.9125,44,0.916666667,47,0.824561404,57,0.890625,0.903041849,0.88138917,0.903041849,A,A,
35945,student017,,148,154.97,1.394033742,1,P,0.95,1,28,27.5,28,30,24,30,24,28,0.914583333,43.5,0.90625,44,0.771929825,58.5,0.9140625,0.908107182,0.879459767,0.908107182,A,A,
35945,student018,,69,12.07,0.373021472,0.373021472,P,0.783333333,1,26,25.5,28,18,28,11.5,24,30,0.795833333,24,0.5,46.5,0.815789474,37,0.578125,0.644930985,0.614941802,0.644930985,C+,C+,
35945,student020,,120,130.49,1.15256135,1,P,0.833333333,1,22,0,29.5,22,26,27,24,27,0.845238095,35.5,0.739583333,48.5,0.850877193,33.5,0.5234375,0.739629347,0.648880314,0.739629347,B,B,
35945,student021,,90,97.47,0.862592025,0.862592025,P,0.955555556,1,30,29,27.5,23,25,28,23.5,30,0.9,41.5,0.864583333,44,0.771929825,47.5,0.7421875,0.827057357,0.777296306,0.827057357,A-,A-,
30497,student022,,5,68.59,0.338604294,0.338604294, P,1,0,0,0,0,0,18,0,24.5,29,0.297916667,24,0.5,28.5,0.5,37.5,0.5859375,0.518730221,0.546274038,0.546274038,C,C,
30496,student023,,66,25.29,0.420046012,0.420046012,F,0.472222222,0.666666667,25,24.5,21,0,22,0,0,0,0.385416667,19,0.395833333,13,0.228070175,0,0,0.25468735,0.143977733,0.25468735,F,F,02/22/2017
30497,student024,,131,165.67,1.365046012,1, P,0.944444444,1,28,29.5,28,27,28,26,25.5,31,0.929166667,28.5,0.59375,25,0.438596491,20.5,0.3203125,0.60432246,0.410709767,0.60432246,C,C,
30496,student025,,107,43.14,0.690828221,0.690828221,P,0.833333333,1,26,15.5,25.5,0,23.5,15,22,20,0.614583333,25.5,0.53125,46.5,0.815789474,50,0.78125,0.73936791,0.73152834,0.73936791,B,B,
30497,student026,,153,124.44,1.276564417,1,P,0.944444444,1,30,29.5,28,28,26,30.5,23,29,0.933333333,22,0.458333333,38,0.666666667,43.5,0.6796875,0.744418403,0.625600962,0.744418403,B,B,
30497,student027,,115,117.83,1.071303681,1, P,0.972222222,1,28,26,30,26,29,26.5,25,30,0.91875,29.5,0.614583333,27.5,0.48245614,30,0.46875,0.667715643,0.505566802,0.667715643,B-,B-,
35945,student030,,145,174.13,1.468389571,1, P,0.972222222,1,23,28.5,31.5,33,33,30,28,33,1,33,0.6875,38,0.666666667,42.5,0.6640625,0.782769097,0.670072115,0.782769097,B+,B+,
35945,student033,,137,146.1,1.302607362,1,P,0.911111111,1,29,26.5,28.5,25,27,27,23.5,30,0.902083333,30,0.625,40.5,0.710526316,44.5,0.6953125,0.775007767,0.682597419,0.775007767,B+,B+,
35945,student034,,146,22.89,0.777101227,0.777101227,P,0.822222222,1,29,26.5,27,26,26,23.5,24.5,26,0.86875,29.5,0.614583333,36,0.631578947,28,0.4375,0.636856687,0.523152834,0.636856687,C+,C+,
30496,student035,,82,120.64,0.932392638,0.932392638,P,0.888888889,0.666666667,18.5,25,22.5,0,28,25.5,23.5,27,0.708333333,28.5,0.59375,35.5,0.622807018,35,0.546875,0.660184622,0.575215081,0.660184622,B-,B-,
30496,student037,,123,132.58,1.175981595,1, P,0.972222222,1,27,28.5,29.5,30,33,33,30,33,1.016666667,29.5,0.614583333,38,0.666666667,48,0.75,0.803576389,0.699519231,0.803576389,A-,A-,
30496,student038,,124,168.93,1.347837423,1,P,0.933333333,1,29,28.5,31,30,29,26.5,25,30,0.954166667,43,0.895833333,46,0.807017544,49.5,0.7734375,0.864880757,0.809431933,0.864880757,A,A,
35945,student039,,106,69.54,0.807699387,0.807699387,P,0.905555556,1,26,23,25.5,28,0,25,22,30,0.747916667,32,0.666666667,25.5,0.447368421,30,0.46875,0.627284924,0.509488866,0.627284924,C+,C+,
30496,student040,,159,162.83,1.480812883,1,P,0.988888889,1,25,26.5,28.5,30.5,28,32,22.5,33,0.941666667,32,0.666666667,47.5,0.833333333,50.5,0.7890625,0.844227431,0.771033654,0.844227431,A-,A-,
30496,student041,,125,36.73,0.744156442,0.744156442,P,0.972222222,1,29,24,28.5,28,25,30,23,29,0.902083333,16.5,0.34375,29,0.50877193,19.5,0.3046875,0.546365114,0.36079833,0.546365114,C,C,
30497,student042,,50,,0.23006135,0.23006135,P,0.377777778,0.166666667,0,24,0,22,0,0,0,0,0.191666667,25,0.520833333,32.5,0.570175439,30,0.46875,0.415997729,0.504175101,0.504175101,C,C,
30496,student043,,155,164.34,1.469355828,1,P,0.872222222,1,23.5,25,27.5,23,28.5,28,23,27,0.85625,24,0.5,23,0.403508772,25,0.390625,0.595092288,0.418838563,0.595092288,C,C,
30497,student044,,135,67.26,0.930644172,0.930644172,P,0.844444444,0.833333333,21,22,29,19,25,29.5,21,30,0.81875,18.5,0.385416667,22,0.385964912,29.5,0.4609375,0.57808589,0.426208249,0.57808589,C,C,
30496,student047,,129,164.22,1.349171779,1, P,0.972222222,1,29,29,29.5,27.5,30,25.5,26,30,0.94375,42.5,0.885416667,54,0.947368421,62,0.96875,0.955577485,0.94458502,0.955577485,A,A,
35945,student049,,147,173.28,1.473680982,1,P,0.966666667,1,28,29,30,30,30,27,25.5,30,0.95625,32.5,0.677083333,35.5,0.622807018,44,0.6875,0.777900219,0.670167004,0.777900219,B+,B+,
30497,student052,,153,137.69,1.337530675,1, P,0.944444444,1,28,29,25.5,18,26,26.5,21,28,0.841666667,38,0.791666667,44.5,0.780701754,53,0.828125,0.854310124,0.808767713,0.854310124,A,A,
30497,student054,,120,176.31,1.363389571,1,P,0.905555556,1,30,29.5,28.5,30,30,29,26,33,0.983333333,33,0.6875,35.5,0.622807018,44,0.6875,0.776059942,0.67257085,0.776059942,B+,B+,
30497,student055,,142,150.23,1.344616564,1,P,0.944444444,1,23,25.5,28.5,30,24,0,20,29,0.75,36.5,0.760416667,47.5,0.833333333,42,0.65625,0.788194444,0.721153846,0.788194444,B+,B+,
30497,student056,,137,142.32,1.285214724,1,P,0.955555556,1,29,27,25.5,30,25,30,24.5,30,0.920833333,40.5,0.84375,40.5,0.710526316,46,0.71875,0.822342836,0.745698381,0.822342836,A-,A-,
30496,student057,,88,141.96,1.05809816,1, P,0.888888889,1,30,30,29.5,30,26,28,24.5,24,0.925,31.5,0.65625,43.5,0.763157895,44,0.6875,0.784925073,0.697747976,0.784925073,B+,B+,
35945,student058,,96,163.32,1.193190184,1,P,0.861111111,0.666666667,30,28.5,28,30,30,30,22,30,0.952083333,33,0.6875,39,0.684210526,41,0.640625,0.744628107,0.661500506,0.744628107,B,B,
35945,student059,,148,146.9,1.35690184,1,P,0.927777778,1,21.5,24.5,27.5,19,28,27.5,22.5,28,0.827083333,44,0.916666667,46,0.807017544,51.5,0.8046875,0.865679368,0.831066549,0.865679368,A,A,
35945,student060,,121,103.56,1.033251534,1,P,0.922222222,0.666666667,28,30,28.5,25,24,27.5,27,30,0.916666667,41,0.854166667,41.5,0.728070175,56.5,0.8828125,0.863542124,0.840492156,0.863542124,A,A,
30497,student062,,149,103.93,1.163788344,1, P,0.944444444,1,28,28.5,27.5,27,24,26.5,23.5,26,0.879166667,41.5,0.864583333,47.5,0.833333333,52,0.8125,0.871423611,0.829326923,0.871423611,A,A,
30496,student063,,120,98.5,1.005368098,1,P,0.811111111,1,22,22,22,24,0,30,26,23,0.704166667,29.5,0.614583333,37.5,0.657894737,42,0.65625,0.722086988,0.64701417,0.722086988,B,B,
30497,student064,100,,77.97,0.818880368,0.818880368, P,0.638888889,0.833333333,27,27.5,27,30,24,24,20,0,0.747916667,45,0.9375,38.5,0.675438596,41.5,0.6484375,0.731129174,0.721375253,0.731129174,B,B,
